Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	327.704	0.000000	0.000
FBtr0300738	2350	2168.307	0.160120	3.066
FBtr0300739	2172	1990.307	0.266983	4.693
FBtr0300737	2184	2002.307	0.248384	4.392
FBtr0300736	2338	2156.307	0.168738	3.213
FBtr0078628	2467	2285.307	0.146448	2.956
FBtr0300740	2479	2297.307	0.139764	2.835
FBtr0078627	2301	2119.307	0.215710	4.037
FBtr0300741	2313	2131.307	0.203171	3.824
FBtr0072762	889	707.516	71.321653	445.623
FBtr0346821	1270	1088.307	4.047425	38.899
FBtr0331460	900	718.512	2.478010	15.723
FBtr0303848	5005	4823.307	8.304978	353.747
FBtr0086122	1465	1283.307	0.617672	7.000
FBtr0335147	3125	2943.307	2.213871	57.544
FBtr0081459	3019	2837.307	18.906267	473.720
FBtr0305321	6523	6341.307	1.273280	71.304
FBtr0083716	5665	5483.307	18.022333	872.696
FBtr0078184	1305	1123.307	0.604844	6.000
FBtr0081691	765	583.604	0.000000	0.000
FBtr0085263	1228	1046.307	0.000000	0.000
FBtr0086342	492	310.715	0.000000	0.000
FBtr0086343	495	313.713	0.000000	0.000
FBtr0091847	1023	841.307	1.424419	10.583
FBtr0072393	1393	1211.307	13.586644	145.337
FBtr0343502	867	685.531	0.770252	4.663
FBtr0343753	3569	3387.307	4.059452	121.432
FBtr0433525	3725	3543.307	0.164792	5.156
FBtr0113895	961	779.470	24.712343	170.107
FBtr0345179	887	705.516	46.528661	289.893
FBtr0334135	4703	4521.307	0.280158	11.186
FBtr0334137	4561	4379.307	0.444975	17.209
FBtr0334141	5321	5139.307	0.200386	9.095
FBtr0334139	4203	4021.307	0.500862	17.787
FBtr0334140	5704	5522.307	0.165404	8.066
FBtr0344148	4894	4712.307	0.263116	10.949
FBtr0334142	5071	4889.307	0.216253	9.337
FBtr0334138	5563	5381.307	0.176730	8.399
FBtr0334136	3862	3680.307	1.014509	32.972
FBtr0085105	995	813.439	9.466169	68.000
FBtr0346720	2745	2563.307	0.000000	0.000
FBtr0076089	442	260.755	0.000000	0.000
FBtr0087500	1417	1235.307	11.458439	125.000
FBtr0073094	1694	1512.307	6.595756	88.087
FBtr0073093	1577	1395.307	76.685315	944.913
FBtr0343515	1092	910.307	0.180730	1.453
FBtr0072451	975	793.452	10.210847	71.547
FBtr0071607	2252	2070.307	3.336457	61.000
FBtr0081516	4704	4522.307	0.150239	6.000
FBtr0300749	931	749.506	1.877867	12.429
FBtr0346532	1185	1003.307	0.502900	4.456
FBtr0073076	880	698.518	62.269252	384.115
FBtr0089289	4677	4495.307	0.851240	33.793
FBtr0100448	4590	4408.307	1.169300	45.521
FBtr0089290	4681	4499.307	1.098405	43.643
FBtr0089288	4037	3855.307	9.781428	333.020
FBtr0100447	4417	4235.307	1.510085	56.480
FBtr0329933	4663	4481.307	1.152772	45.620
FBtr0336949	2826	2644.307	22.564494	526.923
FBtr0088786	1378	1196.307	82.016856	866.474
FBtr0088785	1869	1687.307	11.649262	173.581
FBtr0303077	607	425.672	0.000000	0.000
FBtr0339716	615	433.665	0.057916	0.222
FBtr0085459	600	418.675	82.702800	305.778
FBtr0070973	1218	1036.307	1.201973	11.000
FBtr0089252	2767	2585.307	2.363947	53.971
FBtr0334488	2840	2658.307	2.150185	50.477
FBtr0334489	2902	2720.307	0.814868	19.576
FBtr0100600	3804	3622.307	3.274549	104.748
FBtr0300305	309	127.850	0.000000	0.000
FBtr0077162	567	385.683	0.000000	0.000
FBtr0072277	713	531.622	55.593980	261.000
FBtr0344898	1082	900.307	0.000000	0.000
FBtr0086817	1175	993.307	0.000000	0.000
FBtr0333271	5146	4964.307	0.643582	28.214
FBtr0072639	5149	4967.307	0.587821	25.786
FBtr0340000	824	642.573	1.158408	6.573
FBtr0087390	427	245.771	101.099411	219.427
FBtr0070472	3021	2839.307	2.842871	71.282
FBtr0331752	4499	4317.307	14.964368	570.533
FBtr0070475	3174	2992.307	7.303855	193.005
FBtr0070474	3218	3036.307	0.538145	14.430
FBtr0302185	2166	1984.307	1.752346	30.707
FBtr0070471	4805	4623.307	10.096402	412.220
FBtr0112828	2903	2721.307	4.755711	114.289
FBtr0301966	3182	3000.307	0.948948	25.143
FBtr0070468	3055	2873.307	9.318781	236.456
FBtr0070476	2745	2563.307	0.381947	8.646
FBtr0070470	3110	2928.307	1.440815	37.259
FBtr0331751	4750	4568.307	1.312007	52.930
FBtr0070469	4244	4062.307	12.932971	463.960
FBtr0070467	2929	2747.307	0.486422	11.801
FBtr0331753	5004	4822.307	1.105624	47.084
FBtr0070466	2847	2665.307	1.575941	37.093
FBtr0070473	3091	2909.307	1.641060	42.162
FBtr0076265	1575	1393.307	56.078016	690.000
FBtr0331935	1030	848.307	0.148403	1.112
FBtr0088237	816	634.577	101.872506	570.888
FBtr0081705	1363	1181.307	0.000000	0.000
FBtr0088524	1299	1117.307	86.146324	850.000
FBtr0074540	843	661.565	24.305595	142.000
FBtr0074494	1357	1175.307	0.385389	4.000
FBtr0085714	3349	3167.307	116.305117	3253.109
FBtr0085713	3440	3258.307	852.985890	24543.891
FBtr0076256	334	152.837	2.963614	4.000
FBtr0339552	1718	1536.307	10.159871	137.840
FBtr0078950	1533	1351.307	27.750702	331.160
FBtr0070990	1321	1139.307	1.301011	13.090
FBtr0100409	805	623.582	0.413864	2.279
FBtr0343330	706	524.626	108.708561	503.643
FBtr0304902	1617	1435.307	0.424932	5.386
FBtr0304901	2286	2104.307	0.248285	4.614
FBtr0078872	1228	1046.307	0.108226	1.000
FBtr0077839	2112	1930.307	9.065833	154.541
FBtr0077837	2331	2149.307	2.733626	51.886
FBtr0077838	2235	2053.307	3.399418	61.641
FBtr0077836	2325	2143.307	25.409156	480.933
FBtr0075133	4018	3836.307	0.405488	13.737
FBtr0332862	2190	2008.307	3.679810	65.263
FBtr0087988	1754	1572.307	172.512302	2395.339
FBtr0087987	1948	1766.307	474.641945	7403.582
FBtr0074688	1633	1451.307	52.588524	674.000
FBtr0086864	3503	3321.307	13.603614	399.000
FBtr0083361	1283	1101.307	0.000000	0.000
FBtr0392904	4164	3982.307	9.137064	321.330
FBtr0084588	2385	2203.307	99.165045	1929.493
FBtr0303161	2639	2457.307	12.046811	261.421
FBtr0079257	1918	1736.307	16.239147	249.000
FBtr0307341	906	724.512	0.000263	0.002
FBtr0084989	527	345.693	0.000180	0.001
FBtr0306309	750	568.606	0.782142	3.927
FBtr0344570	539	357.687	0.022980	0.073
FBtr0078090	1219	1037.307	33.950284	311.000
FBtr0087439	546	364.687	25.461526	82.000
FBtr0070960	2096	1914.307	0.128514	2.173
FBtr0302357	2296	2114.307	0.104997	1.960
FBtr0302356	2428	2246.307	0.094309	1.871
FBtr0340571	3830	3648.307	0.015519	0.500
FBtr0340572	3825	3643.307	0.015541	0.500
FBtr0080267	3305	3123.307	0.000000	0.000
FBtr0077141	787	605.591	0.000000	0.000
FBtr0306593	981	799.447	0.000000	0.000
FBtr0081719	1938	1756.307	80.206643	1244.000
FBtr0071549	1655	1473.307	34.817319	453.000
FBtr0308832	1068	886.307	11.298505	88.433
FBtr0308833	2043	1861.307	29.904461	491.545
FBtr0074921	2263	2081.307	2.721519	50.022
FBtr0073011	1996	1814.307	0.062414	1.000
FBtr0112378	450	268.747	0.000000	0.000
FBtr0342602	1596	1414.307	0.202114	2.524
FBtr0080326	1217	1035.307	92.912067	849.476
FBtr0085405	675	493.633	182.828734	797.000
FBtr0339295	331	149.839	0.000000	0.000
FBtr0300316	205	29.382	0.000000	0.000
FBtr0300904	2130	1948.307	0.000000	0.000
FBtr0081633	2196	2014.307	0.000000	0.000
FBtr0300905	2052	1870.307	0.000000	0.000
FBtr0335279	1234	1052.307	0.075498	0.702
FBtr0335281	1199	1017.307	0.079288	0.712
FBtr0290216	733	551.615	0.000000	0.000
FBtr0335280	740	558.609	0.000000	0.000
FBtr0077120	1711	1529.307	17.607714	237.797
FBtr0081676	887	705.516	0.000000	0.000
FBtr0076639	2093	1911.307	0.153241	2.587
