Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	331.689	0.000000	0.000
FBtr0300738	2350	2172.198	0.182715	2.669
FBtr0300739	2172	1994.198	0.305413	4.096
FBtr0300737	2184	2006.198	0.215933	2.913
FBtr0300736	2338	2160.198	0.245674	3.569
FBtr0078628	2467	2289.198	0.256877	3.954
FBtr0300740	2479	2301.198	0.193592	2.996
FBtr0078627	2301	2123.198	0.317130	4.528
FBtr0300741	2313	2135.198	0.228068	3.275
FBtr0072762	889	711.473	61.066685	292.174
FBtr0346821	1270	1092.198	4.215707	30.964
FBtr0331460	900	722.472	2.117626	10.288
FBtr0303848	5005	4827.198	7.687034	249.536
FBtr0086122	1465	1287.198	0.462099	4.000
FBtr0335147	3125	2947.198	2.862858	56.740
FBtr0081459	3019	2841.198	21.774913	416.042
FBtr0305321	6523	6345.198	1.221002	52.100
FBtr0083716	5665	5487.198	21.189501	781.900
FBtr0078184	1305	1127.198	0.131923	1.000
FBtr0081691	765	587.552	0.000000	0.000
FBtr0085263	1228	1050.198	0.000000	0.000
FBtr0086342	492	314.704	0.000000	0.000
FBtr0086343	495	317.700	0.000000	0.000
FBtr0091847	1023	845.198	1.962187	11.153
FBtr0072393	1393	1215.198	81.764994	668.181
FBtr0343502	867	689.481	0.592107	2.745
FBtr0343753	3569	3391.198	3.165998	72.201
FBtr0433525	3725	3547.198	0.250041	5.965
FBtr0113895	961	783.443	14.494668	76.365
FBtr0345179	887	709.473	66.365644	316.635
FBtr0334135	4703	4525.198	0.327720	9.973
FBtr0334137	4561	4383.198	0.991338	29.221
FBtr0334141	5321	5143.198	0.225543	7.801
FBtr0334139	4203	4025.198	0.523806	14.179
FBtr0334140	5704	5526.198	0.202896	7.540
FBtr0344148	4894	4716.198	0.287230	9.110
FBtr0334142	5071	4893.198	0.257886	8.486
FBtr0334138	5563	5385.198	0.201262	7.289
FBtr0334136	3862	3684.198	1.154445	28.602
FBtr0085105	995	817.407	3.274570	18.000
FBtr0346720	2745	2567.198	0.000000	0.000
FBtr0076089	442	264.745	0.000000	0.000
FBtr0087500	1417	1239.198	12.359956	103.000
FBtr0073094	1694	1516.198	12.956818	132.109
FBtr0073093	1577	1399.198	82.353408	774.891
FBtr0343515	1092	914.198	0.889395	5.468
FBtr0072451	975	797.422	11.847484	63.532
FBtr0071607	2252	2074.198	2.724293	38.000
FBtr0081516	4704	4526.198	0.197123	6.000
FBtr0300749	931	753.467	2.660687	13.481
FBtr0346532	1185	1007.198	0.179977	1.219
FBtr0073076	880	702.475	75.211499	355.299
FBtr0089289	4677	4499.198	1.164525	35.234
FBtr0100448	4590	4412.198	2.707955	80.348
FBtr0089290	4681	4503.198	1.735546	52.558
FBtr0089288	4037	3859.198	12.976415	336.768
FBtr0100447	4417	4239.198	2.116999	60.351
FBtr0329933	4663	4485.198	1.838474	55.452
FBtr0336949	2826	2648.198	21.410335	381.288
FBtr0088786	1378	1200.198	80.391037	648.844
FBtr0088785	1869	1691.198	14.324642	162.914
FBtr0303077	607	429.641	0.000000	0.000
FBtr0339716	615	437.635	0.084373	0.248
FBtr0085459	600	422.643	66.410689	188.752
FBtr0070973	1218	1040.198	0.285913	2.000
FBtr0089252	2767	2589.198	3.018183	52.552
FBtr0334488	2840	2662.198	1.505560	26.954
FBtr0334489	2902	2724.198	1.927877	35.318
FBtr0100600	3804	3626.198	2.959797	72.176
FBtr0300305	309	131.852	0.000000	0.000
FBtr0077162	567	389.658	0.000000	0.000
FBtr0072277	713	535.574	56.640972	204.000
